0,10
1,31
2,25
3,9
4,27
5,40
6,41
7,25
8,33
9,40
10,22
11,34
12,12
13,50
14,23
15,6
16,9
17,30
18,11
19,40
20,40
21,14
22,4
23,19
24,39
25,45
26,30
27,34
28,26
29,1
30,26
31,25
32,19
33,8
34,18
35,43
36,12
37,0
38,13
39,21
40,12
41,36
42,50
43,12
44,42
45,36
46,14
47,7
48,28
49,0
50,13
51,21
52,24
53,21
54,0
55,37
56,6
57,2
58,5
59,14
60,50
61,4
62,1
63,47
64,8
65,46
66,42
67,29
68,5
69,22
70,39
71,16
72,11
73,1
74,49
75,23
76,26
77,41
78,22
79,30
80,9
81,47
82,16
83,33
84,34
85,49
86,4
87,1
88,7
89,47
90,0
91,12
92,50
93,24
94,9
95,18
96,34
97,46
98,39
99,8
100,13
101,38
